what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.jst.jsf.core,1.2.2.v20090903,"org.eclipse.jst.jsf.core",1273586881778
stopped,bundle,org.eclipse.jst.jsf.standard.tagsupport,1.1.204.v20090903,"org.eclipse.jst.jsf.standard.tagsupport",1273586881778
stopped,bundle,org.eclipse.jst.pagedesigner.jsp.core,1.1.2.v20090601,"org.eclipse.jst.pagedesigner.jsp.core",1273586881778
stopped,bundle,org.eclipse.jst.jsf.common,1.1.7.v20090903,"org.eclipse.jst.jsf.common",1273586881778
stopped,bundle,org.eclipse.wst.sse.ui,1.1.101.v200908261807,"org.eclipse.wst.sse.ui",1273586881778
stopped,bundle,net.certiv.ntail,1.0.0.200901011414,"net.certiv.ntail",1273586881778
stopped,bundle,net.java.amateras.db,1.0.6,"net.java.amateras.db",1273586881794
stopped,bundle,net.java.amateras.umleditor.java,1.3.2,"net.java.amateras.umleditor.java",1273586881794
stopped,bundle,net.sf.eclipsecs.ui,5.0.1.200908032119,"net.sf.eclipsecs.ui",1273586881795
stopped,bundle,org.eclipse.jst.common.annotations.ui,1.1.102.v200806010600,"org.eclipse.jst.common.annotations.ui",1273586881795
stopped,bundle,org.eclipse.jst.common.project.facet.ui,1.4.1.v200908111817,"org.eclipse.jst.common.project.facet.ui",1273586881795
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.emitter,1.1.102.v200805140135,"org.eclipse.jst.j2ee.ejb.annotations.emitter",1273586881795
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.302.v200905260749,"org.eclipse.jst.ws.axis2.ui",1273586881795
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.400.v200901261650,"org.eclipse.jst.ws.uddiregistry",1273586881795
stopped,bundle,org.eclipse.jst.ws.ui,1.0.402.v200903111822,"org.eclipse.jst.ws.ui",1273586881795
stopped,bundle,org.limy.eclipse.code,1.3.9,"org.limy.eclipse.code",1273586881795
stopped,bundle,org.limy.eclipse.prop,1.2.4,"org.limy.eclipse.prop",1273586881795
stopped,bundle,org.limy.eclipse.core,1.4.9,"org.limy.eclipse.core",1273586881795
stopped,bundle,zigen.plugin.db.ext.jdt,1.0.3,"zigen.plugin.db.ext.jdt",1273586881795
stopped,bundle,org.eclipse.jpt.eclipselink.core,1.2.0.v200905310000,"org.eclipse.jpt.eclipselink.core",1273586881795
stopped,bundle,org.eclipse.jpt.core,2.2.1.v200908270220,"org.eclipse.jpt.core",1273586881795
stopped,bundle,org.eclipse.jpt.db,1.2.101.v200908270220,"org.eclipse.jpt.db",1273586881795
stopped,bundle,org.eclipse.datatools.enablement.jdt.classpath,1.0.1.v200909240342,"org.eclipse.datatools.enablement.jdt.classpath",1273586881795
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090930-2100_R35x,"org.eclipse.jdt.apt.ui",1273586881795
stopped,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1273586881795
