what,kind,bundleId,bundleVersion,description,time
activated,editor,FITool,2.0.0,"FITool.strEditor",1273582016318
activated,editor,FITool,2.0.0,"FITool.mapEditor",1273582023073
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1273582041189
opened,editor,FITool,2.0.0,"FITool.chipEditor",1273582041839
activated,editor,FITool,2.0.0,"FITool.chipEditor",1273582041854
activated,editor,FITool,2.0.0,"FITool.strEditor",1273582046509
activated,editor,FITool,2.0.0,"FITool.chipEditor",1273582050121
activated,editor,FITool,2.0.0,"FITool.mapEditor",1273582053084
activated,editor,FITool,2.0.0,"FITool.strEditor",1273582077952
activated,editor,FITool,2.0.0,"FITool.mapEditor",1273582132170
activated,editor,FITool,2.0.0,"FITool.strEditor",1273582133098
activated,editor,FITool,2.0.0,"FITool.mapEditor",1273582134563
closed,editor,FITool,2.0.0,"FITool.strEditor",1273582134563
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1273582138180
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1273583020724
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1273583023064
stopped,bundle,FITool,2.0.0,"FITool",1273583023329
stopped,bundle,com.eclipsegeek.openexternal,0.7.0,"com.eclipsegeek.openexternal",1273583023329
stopped,bundle,com.something.eclipse.shelled.ui,1.0.5,"com.something.eclipse.shelled.ui",1273583023329
stopped,bundle,de.loskutov.anyedit.AnyEditTools,2.2.0.200904262004,"de.loskutov.anyedit.AnyEditTools",1273583023329
stopped,bundle,edu.umd.cs.findbugs.plugin.eclipse,1.3.8.20090315,"edu.umd.cs.findbugs.plugin.eclipse",1273583023329
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1273583023329
stopped,bundle,org.eclipse.jpt.eclipselink.ui,1.2.0.v200905310000,"org.eclipse.jpt.eclipselink.ui",1273583023329
stopped,bundle,org.eclipse.jpt.ui,2.2.1.v200909020220,"org.eclipse.jpt.ui",1273583023329
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.ui,1.1.102.v200805140020,"org.eclipse.jst.j2ee.ejb.annotations.ui",1273583023329
