what,kind,bundleId,bundleVersion,description,time
activated,editor,FITool,2.0.0,"FITool.chipEditor",1273584905357
activated,editor,FITool,2.0.0,"FITool.mapEditor",1273584910319
activated,editor,FITool,2.0.0,"FITool.chipEditor",1273584932270
activated,editor,FITool,2.0.0,"FITool.mapEditor",1273584938612
activated,editor,FITool,2.0.0,"FITool.chipEditor",1273584948599
activated,editor,FITool,2.0.0,"FITool.mapEditor",1273584960073
activated,editor,FITool,2.0.0,"FITool.strEditor",1273584988035
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1273584999283
started,bundle,org.eclipse.jst.servlet.ui,1.1.301.v200908101600,"org.eclipse.jst.servlet.ui",1273584999391
opened,editor,FITool,2.0.0,"FITool.mapEditor",1273585009788
activated,editor,FITool,2.0.0,"FITool.mapEditor",1273585009805
activated,editor,FITool,2.0.0,"FITool.strEditor",1273585078051
closed,editor,FITool,2.0.0,"FITool.mapEditor",1273585078052
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1273585082783
opened,editor,FITool,2.0.0,"FITool.strEditor",1273585108172
activated,editor,FITool,2.0.0,"FITool.strEditor",1273585108185
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1273585133691
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1273585212359
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1273585230368
activated,editor,FITool,2.0.0,"FITool.strEditor",1273585236888
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1273585248494
opened,editor,FITool,2.0.0,"FITool.mapEditor",1273585254655
activated,editor,FITool,2.0.0,"FITool.mapEditor",1273585254669
activated,editor,FITool,2.0.0,"FITool.strEditor",1273585290043
closed,editor,FITool,2.0.0,"FITool.mapEditor",1273585290043
