what,kind,bundleId,bundleVersion,description,time
activated,editor,FITool,2.0.0,"FITool.raftMatrixEditor",1273586277512
activated,editor,FITool,2.0.0,"FITool.enemyMasterEditor",1273586280312
activated,view,FITool,2.0.0,"FITool.chipViewer",1273586399248
activated,editor,FITool,2.0.0,"FITool.enemyMasterEditor",1273586403822
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1273586405869
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1273586407425
activated,editor,FITool,2.0.0,"FITool.raftMatrixEditor",1273586407540
closed,editor,FITool,2.0.0,"FITool.enemyMasterEditor",1273586407540
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1273586409044
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1273586414809
activated,view,FITool,2.0.0,"FITool.chipViewer",1273586416662
activated,editor,FITool,2.0.0,"FITool.raftMatrixEditor",1273586419974
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1273586439028
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1273586603127
activated,editor,FITool,2.0.0,"FITool.itemDataEditor",1273586605767
activated,editor,FITool,2.0.0,"FITool.mapEditor",1273586698802
activated,editor,FITool,2.0.0,"FITool.strEditor",1273586701196
activated,editor,FITool,2.0.0,"FITool.strEditor",1273586702329
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1273586709917
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1273586853729
activated,editor,FITool,2.0.0,"FITool.strEditor",1273586863791
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1273586874742
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1273586878954
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1273586881279
stopped,bundle,FITool,2.0.0,"FITool",1273586881762
