what,kind,bundleId,bundleVersion,description,time
opened,editor,FITool,2.0.0,"FITool.strEditor",1273585938613
activated,editor,FITool,2.0.0,"FITool.strEditor",1273585938661
activated,editor,FITool,2.0.0,"FITool.enemyMasterEditor",1273585940422
activated,editor,FITool,2.0.0,"FITool.itemDataEditor",1273585944528
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1273586035616
opened,editor,FITool,2.0.0,"FITool.strEditor",1273586052636
activated,editor,FITool,2.0.0,"FITool.strEditor",1273586052668
activated,editor,FITool,2.0.0,"FITool.itemDataEditor",1273586087489
closed,editor,FITool,2.0.0,"FITool.strEditor",1273586087490
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1273586122354
activated,editor,FITool,2.0.0,"FITool.itemDataEditor",1273586157723
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1273586205112
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1273586216057
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1273586216615
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1273586252750
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1273586264579
activated,editor,FITool,2.0.0,"FITool.strEditor",1273586268513
activated,editor,FITool,2.0.0,"FITool.strEditor",1273586269699
activated,editor,FITool,2.0.0,"FITool.strEditor",1273586271096
started,bundle,org.limy.eclipse.prop,1.2.4,"org.limy.eclipse.prop",1273586271948
started,bundle,org.limy.eclipse.core,1.4.9,"org.limy.eclipse.core",1273586272377
opened,editor,org.limy.eclipse.prop,1.2.4,"org.limy.eclipse.prop.editor.PropertyEditor",1273586272454
activated,editor,org.limy.eclipse.prop,1.2.4,"org.limy.eclipse.prop.editor.PropertyEditor",1273586272540
activated,editor,FITool,2.0.0,"FITool.strEditor",1273586274097
closed,editor,org.limy.eclipse.prop,1.2.4,"org.limy.eclipse.prop.editor.PropertyEditor",1273586274097
