what,kind,bundleId,bundleVersion,description,time
activated,editor,FITool,2.0.0,"FITool.strEditor",1273585316960
closed,editor,FITool,2.0.0,"FITool.strEditor",1273585316960
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1273585318994
opened,editor,FITool,2.0.0,"FITool.raftMatrixEditor",1273585408332
activated,editor,FITool,2.0.0,"FITool.raftMatrixEditor",1273585408385
opened,editor,FITool,2.0.0,"FITool.strEditor",1273585413357
activated,editor,FITool,2.0.0,"FITool.strEditor",1273585413398
activated,editor,FITool,2.0.0,"FITool.chipEditor",1273585417087
activated,editor,FITool,2.0.0,"FITool.strEditor",1273585417972
activated,editor,FITool,2.0.0,"FITool.chipEditor",1273585560919
closed,editor,FITool,2.0.0,"FITool.strEditor",1273585560919
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1273585705980
opened,editor,FITool,2.0.0,"FITool.enemyMasterEditor",1273585711953
activated,editor,FITool,2.0.0,"FITool.enemyMasterEditor",1273585711969
opened,editor,FITool,2.0.0,"FITool.itemDataEditor",1273585763414
activated,editor,FITool,2.0.0,"FITool.itemDataEditor",1273585763454
opened,editor,FITool,2.0.0,"FITool.strEditor",1273585846957
activated,editor,FITool,2.0.0,"FITool.strEditor",1273585846995
activated,editor,FITool,2.0.0,"FITool.mapEditor",1273585849265
activated,editor,FITool,2.0.0,"FITool.mapEditor",1273585851492
activated,editor,FITool,2.0.0,"FITool.strEditor",1273585902155
activated,editor,FITool,2.0.0,"FITool.mapEditor",1273585928753
activated,editor,FITool,2.0.0,"FITool.mapEditor",1273585930892
activated,editor,FITool,2.0.0,"FITool.strEditor",1273585933209
activated,editor,FITool,2.0.0,"FITool.itemDataEditor",1273585935802
