what,kind,bundleId,bundleVersion,description,time
java.vm.info,sysinfo,,,"mixed mode",1273672200040
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1273672200040
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1273672200040
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1273672200040
java.vm.specification.version,sysinfo,,,"1.0",1273672200040
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1273672200040
java.vm.version,sysinfo,,,"14.3-b01",1273672200040
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1273672202952
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1273672206065
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1273672206101
started,bundle,org.eclipse.jst.servlet.ui,1.1.301.v200908101600,"org.eclipse.jst.servlet.ui",1273672206172
opened,editor,FITool,2.0.0,"FITool.strEditor",1273672219963
activated,editor,FITool,2.0.0,"FITool.strEditor",1273672219979
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1273672222381
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1273672278936
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1273672278948
activated,editor,FITool,2.0.0,"FITool.strEditor",1273672278967
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1273672281470
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1273672491228
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1273672492460
stopped,bundle,FITool,2.0.0,"FITool",1273672493493
stopped,bundle,com.eclipsegeek.openexternal,0.7.0,"com.eclipsegeek.openexternal",1273672493493
stopped,bundle,com.something.eclipse.shelled.ui,1.0.5,"com.something.eclipse.shelled.ui",1273672493493
stopped,bundle,de.loskutov.anyedit.AnyEditTools,2.2.0.200904262004,"de.loskutov.anyedit.AnyEditTools",1273672493493
stopped,bundle,edu.umd.cs.findbugs.plugin.eclipse,1.3.8.20090315,"edu.umd.cs.findbugs.plugin.eclipse",1273672493494
